LI,LO,LH,RI,RO,RH
248,109,169,369,307,203
242,118,172,326,268,200
241,125,171,309,275,189
246,125,166,284,257,167
246,122,171,272,233,153
354,175,158,267,171,144
383,322,273,275,88,150
395,356,281,254,86,156
399,359,265,249,86,164
391,350,225,249,96,168
371,312,214,248,109,169
331,275,211,242,118,172
314,287,195,241,125,171
286,254,167,246,125,166
274,197,149,246,122,171
281,94,152,354,175,158
266,88,148,383,322,273
249,86,157,395,356,281
245,90,167,399,359,265
246,105,168,391,350,225
243,113,171,371,312,214
241,120,171,331,275,211
238,130,165,314,287,195
240,132,163,286,254,167
250,125,167,274,197,149
369,179,158,281,94,152
397,326,253,266,88,148
399,364,279,249,86,157
404,362,258,245,90,167
398,339,209,246,105,168
384,288,196,243,113,171
344,259,199,241,120,171
323,272,191,238,130,165
301,262,169,240,132,163
282,233,158,250,125,167
278,159,148,369,179,158
277,91,150,397,326,253
258,87,159,399,364,279
253,86,166,404,362,258
250,92,171,398,339,209
249,102,172,384,288,196
245,111,173,344,259,199
241,121,172,323,272,191
247,134,167,301,262,169
247,132,169,282,233,158
314,181,150,278,159,148
374,279,201,277,91,150
397,359,306,258,87,159
399,364,281,253,86,166
391,350,230,250,92,171
372,318,212,249,102,172
324,280,211,245,111,173
306,281,211,241,121,172
294,284,184,247,134,167
276,265,165,247,132,169
265,202,148,314,181,150
270,92,146,374,279,201
245,89,157,397,359,306
250,88,165,399,364,281
252,96,168,391,350,230
250,108,170,372,318,212
243,119,172,324,280,211
241,128,172,306,281,211
251,136,167,294,284,184
252,138,170,276,265,165
341,214,151,265,202,148
387,320,209,270,92,146
400,369,281,245,89,157
404,375,270,250,88,165
399,370,232,252,96,168
379,345,217,250,108,170
328,300,215,243,119,172
302,307,201,241,128,172
278,280,172,251,136,167
267,230,156,252,138,170
270,141,151,341,214,151
256,86,150,387,320,209
241,86,152,400,369,281
240,88,161,404,375,270
237,100,165,399,370,232
239,113,167,379,345,217
234,126,169,328,300,215
229,133,169,302,307,201
239,135,162,278,280,172
242,131,164,267,230,156
249,134,146,270,141,151
361,237,183,256,86,150
388,352,239,241,86,152
394,376,268,240,88,161
387,368,233,237,100,165
366,340,221,239,113,167
320,300,219,234,126,169
302,299,209,229,133,169
282,274,176,239,135,162
274,220,157,242,131,164
277,138,148,249,134,146
271,88,152,361,237,183
254,86,161,388,352,239
251,85,167,394,376,268
252,93,171,387,368,233
251,107,172,366,340,221
244,118,172,320,300,219
236,129,172,302,299,209
247,134,167,282,274,176
249,137,167,274,220,157
259,148,151,277,138,148
385,265,197,271,88,152
405,370,285,254,86,161
409,371,259,251,85,167
405,354,211,252,93,171
392,311,192,251,107,172
360,254,191,244,118,172
333,257,189,236,129,172
317,259,175,247,134,167
300,250,163,249,137,167
288,224,151,259,148,151
286,103,148,385,265,197
280,88,151,405,370,285
269,84,167,409,371,259
262,84,172,405,354,211
251,84,175,392,311,192
242,91,177,360,254,191
238,104,179,333,257,189
246,115,175,317,259,175
251,123,176,300,250,163
250,124,176,288,224,151
365,229,218,286,103,148
395,352,316,280,88,151
406,367,306,269,84,167
408,365,262,262,84,172
399,345,231,251,84,175
368,296,223,242,91,177
337,296,219,238,104,179
318,290,187,246,115,175
292,226,163,251,123,176
289,140,153,250,124,176
291,87,153,365,229,218
255,87,154,395,352,316
247,87,161,406,367,306
251,94,168,408,365,262
251,105,170,399,345,231
248,114,172,368,296,223
249,121,171,337,296,219
252,130,164,318,290,187
252,128,165,292,226,163
259,128,159,289,140,153
355,202,176,291,87,153
392,329,227,255,87,154
405,369,292,247,87,161
410,367,265,251,94,168
406,344,224,251,105,170
383,305,222,248,114,172
341,298,223,249,121,171
324,311,197,252,130,164
291,270,169,252,128,165
284,191,156,259,128,159
294,90,155,355,202,176
256,88,151,392,329,227
241,87,162,405,369,292
242,92,169,410,367,265
247,103,174,406,344,224
246,115,176,383,305,222
243,127,177,341,298,223
245,140,172,324,311,197
250,151,166,291,270,169
256,152,169,284,191,156
307,188,156,294,90,155
402,322,254,256,88,151
408,375,309,241,87,162
413,375,295,242,92,169
410,364,233,247,103,174
394,325,207,246,115,176
352,280,205,243,127,177
331,293,203,245,140,172
302,274,176,250,151,166
287,221,160,256,152,169
288,120,151,307,188,156
291,88,160,402,322,254
270,88,168,408,375,309
267,88,171,413,375,295
259,89,175,410,364,233
244,86,176,394,325,207
229,86,180,352,280,205
224,85,176,331,293,203
237,95,169,302,274,176
240,104,171,287,221,160
248,132,150,288,120,151
375,245,195,291,88,160
403,364,306,270,88,168
412,372,293,267,88,171
414,363,253,259,89,175
408,336,234,244,86,176
371,288,229,229,86,180
342,293,219,224,85,176
320,282,186,237,95,169
294,225,165,240,104,171
293,141,156,248,132,150
295,88,159,375,245,195
263,87,160,403,364,306
253,87,166,412,372,293
254,94,174,414,363,253
252,107,175,408,336,234
247,116,177,371,288,229
249,128,173,342,293,219
252,153,164,320,282,186
255,164,165,294,225,165
262,167,149,293,141,156
356,228,180,295,88,159
405,351,288,263,87,160
413,373,302,253,87,166
413,372,269,254,94,174
403,356,228,252,107,175
366,311,223,247,116,177
333,303,217,249,128,173
309,300,195,252,153,164
288,258,169,255,164,165
284,200,155,262,167,149
289,95,156,356,228,180
251,89,156,405,351,288
246,89,164,413,373,302
247,97,171,413,372,269
250,110,174,403,356,228
247,123,176,366,311,223
245,134,178,333,303,217
252,151,171,309,300,195
256,164,167,288,258,169
257,162,168,284,200,155
359,218,159,289,95,156
403,319,222,251,89,156
411,368,296,246,89,164
415,367,276,247,97,171
412,349,228,250,110,174
402,316,211,247,123,176
360,284,211,245,134,178
339,294,212,252,151,171
314,287,189,256,164,167
291,252,168,257,162,168
285,171,157,359,218,159
294,90,159,403,319,222
261,89,163,411,368,296
257,87,172,415,367,276
255,93,177,412,349,228
252,107,180,402,316,211
247,117,182,360,284,211
247,128,179,339,294,212
250,138,172,314,287,189
255,142,175,291,252,168
257,149,167,285,171,157
349,232,184,294,90,159
406,346,302,261,89,163
407,372,308,257,87,172
408,371,277,255,93,177
394,358,234,252,107,180
356,323,226,247,117,182
318,303,223,247,128,179
298,309,207,250,138,172
279,279,175,255,142,175
273,226,158,257,149,167
276,97,154,349,232,184
248,89,157,406,346,302
247,87,168,407,372,308
252,93,172,408,371,277
254,107,174,394,358,234
251,117,176,356,323,226
245,129,177,318,303,223
244,141,171,298,309,207
251,158,168,279,279,175
254,162,170,273,226,158
376,216,166,276,97,154
407,346,291,248,89,157
408,375,288,247,87,168
408,370,251,252,93,172
398,354,218,254,107,174
372,315,211,251,117,176
334,285,208,245,129,177
312,290,201,244,141,171
288,268,177,251,158,168
278,232,163,254,162,170
275,155,151,376,216,166
256,93,155,407,346,291
251,89,165,408,375,288
251,91,169,408,370,251
252,103,175,398,354,218
252,117,177,372,315,211
247,124,178,334,285,208
245,137,175,312,290,201
252,151,167,288,268,177
254,160,170,278,232,163
254,179,149,275,155,151
378,265,193,256,93,155
412,366,310,251,89,165
416,367,282,251,91,169
414,353,239,252,103,175
400,322,215,252,117,177
363,283,212,247,124,178
335,287,216,245,137,175
314,292,196,252,151,167
292,261,171,254,160,170
281,204,155,254,179,149
289,92,154,378,265,193
255,92,157,412,366,310
255,91,170,416,367,282
256,101,174,414,353,239
256,112,176,400,322,215
251,123,178,363,283,212
249,136,179,335,287,216
251,147,174,314,292,196
254,147,175,292,261,171
257,144,171,281,204,155
353,221,183,289,92,154
403,336,262,255,92,157
411,365,291,255,91,170
414,359,255,256,101,174
407,330,217,256,112,176
388,287,211,251,123,178
350,280,212,249,136,179
336,295,206,251,147,174
309,275,182,254,147,175
290,229,160,257,144,171
291,119,155,353,221,183
277,91,156,403,336,262
262,87,166,411,365,291
263,88,171,414,359,255
262,102,176,407,330,217
257,116,179,388,287,211
252,128,181,350,280,212
254,143,176,336,295,206
256,156,170,309,275,182
260,160,171,290,229,160
344,198,160,291,119,155
400,321,260,277,91,156
413,359,297,262,87,166
419,359,285,263,88,171
418,344,231,262,102,176
405,306,206,257,116,179
377,265,204,252,128,181
347,276,206,254,143,176
330,284,190,256,156,170
306,265,172,260,160,171
292,219,158,344,198,160
297,98,156,400,321,260
282,91,157,413,359,297
270,86,171,419,359,285
267,87,176,418,344,231
260,103,178,405,306,206
256,118,179,377,265,204
254,130,181,347,276,206
261,147,176,330,284,190
263,163,174,306,265,172
263,165,175,292,219,158
372,247,181,297,98,156
411,348,307,282,91,157
417,363,303,270,86,171
418,359,269,267,87,176
407,343,215,260,103,178
382,304,210,256,118,179
340,283,213,254,130,181
322,297,205,261,147,176
297,282,182,263,163,174
286,255,167,263,165,175
276,192,155,372,247,181
270,93,155,411,348,307
244,89,164,417,363,303
251,90,170,418,359,269
253,105,172,407,343,215
253,120,173,382,304,210
248,130,176,340,283,213
249,140,174,322,297,205
255,147,169,297,282,182
254,143,171,286,255,167
294,179,156,276,192,155
385,288,232,270,93,155
413,357,309,244,89,164
419,361,297,251,90,170
417,350,252,253,105,172
405,324,213,253,120,173
371,286,209,248,130,176
339,286,213,249,140,174
322,294,202,255,147,169
300,272,176,254,143,171
289,235,160,294,179,156
285,136,152,385,288,232
260,94,156,413,357,309
260,88,168,419,361,297
261,93,170,417,350,252
262,108,173,405,324,213
258,124,174,371,286,209
254,133,176,339,286,213
256,143,174,322,294,202
259,147,172,300,272,176
259,146,169,289,235,160
364,225,178,285,136,152
406,333,286,260,94,156
415,359,296,260,88,168
418,360,278,261,93,170
408,352,227,262,108,173
384,320,219,258,124,174
342,296,220,254,133,176
323,310,214,256,143,174
298,287,184,259,147,172
285,239,167,259,146,169
282,160,155,364,225,178
266,94,156,406,333,286
248,92,164,415,359,296
252,97,168,418,360,278
255,112,169,408,352,227
254,124,171,384,320,219
251,134,173,342,296,220
252,147,171,323,310,214
252,161,169,298,287,184
258,166,173,285,239,167
260,168,175,282,160,155
390,276,250,266,94,156
414,358,306,248,92,164
423,364,296,252,97,168
422,355,253,255,112,169
409,330,206,254,124,171
384,282,202,251,134,173
345,272,205,252,147,171
332,287,197,252,161,169
313,280,182,258,166,173
301,272,169,260,168,175
287,214,156,390,276,250
295,95,158,414,358,306
269,88,167,423,364,296
265,87,173,422,355,253
263,98,174,409,330,206
258,112,175,384,282,202
254,123,177,345,272,205
256,132,177,332,287,197
262,148,173,313,280,182
263,160,174,301,272,169
380,219,164,287,214,156
411,336,294,295,95,158
417,363,298,269,88,167
420,359,268,265,87,173
411,341,220,263,98,174
395,302,213,258,112,175
355,280,216,254,123,177
342,296,212,256,132,177
317,282,187,262,148,173
297,244,169,263,160,174
288,166,158,380,219,164
297,92,159,411,336,294
269,89,164,417,363,298
265,88,167,420,359,268
262,99,172,411,341,220
257,114,174,395,302,213
250,124,176,355,280,216
255,139,172,342,296,212
259,161,168,317,282,187
261,169,168,297,244,169
332,201,153,288,166,158
377,282,186,297,92,159
405,344,228,269,89,164
413,364,251,265,88,167
411,351,231,262,99,172
396,317,228,257,114,174
355,300,228,250,124,176
337,317,217,255,139,172
306,291,189,259,161,168
288,241,168,261,169,168
287,162,158,332,201,153
290,88,157,377,282,186
259,88,166,405,344,228
255,87,170,413,364,251
258,92,172,411,351,231
257,103,175,396,317,228
252,115,176,355,300,228
254,130,177,337,317,217
258,144,172,306,291,189
259,149,175,288,241,168
263,153,160,287,162,158
390,277,250,290,88,157
415,358,300,259,88,166
423,364,276,255,87,170
420,358,235,258,92,172
411,332,224,257,103,175
373,286,220,252,115,176
350,294,215,254,130,177
328,288,194,258,144,172
303,247,173,259,149,175
294,193,160,263,153,160
302,93,159,390,277,250
275,92,158,415,358,300
264,89,166,423,364,276
263,89,172,420,358,235
260,102,176,411,332,224
252,115,178,373,286,220
249,128,179,350,294,215
255,147,175,328,288,194
257,158,172,303,247,173
260,162,170,294,193,160
364,218,170,302,93,159
404,330,287,275,92,158
416,361,309,264,89,166
420,360,292,263,89,172
414,349,236,260,102,176
397,317,214,252,115,178
353,281,211,249,128,179
333,287,212,255,147,175
311,281,192,257,158,172
298,264,175,260,162,170
286,230,163,364,218,170
292,114,159,404,330,287
283,92,159,416,361,309
268,88,172,420,360,292
264,89,174,414,349,236
259,103,177,397,317,214
252,115,177,353,281,211
249,128,180,333,287,212
257,145,176,311,281,192
259,161,175,298,264,175
268,176,157,286,230,163
377,284,248,292,114,159
408,355,295,283,92,159
415,364,280,268,88,172
412,362,238,264,89,174
398,340,223,259,103,177
359,299,221,252,115,177
337,300,218,249,128,180
314,293,197,257,145,176
293,255,175,259,161,175
287,211,162,268,176,157
292,106,157,377,284,248
274,91,156,408,355,295
263,88,166,415,364,280
263,89,172,412,362,238
260,105,174,398,340,223
254,121,176,359,299,221
251,135,178,337,300,218
255,148,175,314,293,197
258,161,171,293,255,175
260,161,171,287,211,162
360,221,161,292,106,157
410,330,289,274,91,156
417,359,307,263,88,166
422,357,283,263,89,172
415,344,223,260,105,174
398,313,211,254,121,176
359,280,209,251,135,178
335,287,212,255,148,175
317,295,198,258,161,171
302,284,182,260,161,171
290,260,172,360,221,161
283,171,156,410,330,289
282,94,158,417,359,307
267,88,169,422,357,283
263,88,173,415,344,223
259,102,176,398,313,211
255,116,177,359,280,209
252,131,179,335,287,212
254,143,177,317,295,198
258,161,176,302,284,182
264,163,176,290,260,172
386,220,170,283,171,156
406,342,306,282,94,158
413,361,295,267,88,169
417,359,266,263,88,173
411,339,225,259,102,176
396,292,216,255,116,177
363,270,216,252,131,179
347,287,211,254,143,177
323,284,191,258,161,176
304,265,173,264,163,176
289,215,160,386,220,170
302,92,164,406,342,306
278,90,166,413,361,295
273,88,174,417,359,266
267,90,176,411,339,225
262,107,177,396,292,216
257,118,179,363,270,216
253,131,179,347,287,211
259,148,174,323,284,191
263,158,175,304,265,173
323,196,164,289,215,160
401,315,289,302,92,164
415,353,301,278,90,166
419,356,286,273,88,174
413,350,231,267,90,176
396,323,216,262,107,177
356,285,216,257,118,179
332,289,216,253,131,179
311,290,197,259,148,174
293,271,179,263,158,175
284,243,168,323,196,164
281,151,156,401,315,289
273,92,157,415,353,301
264,88,170,419,356,286
264,88,173,413,350,231
263,100,176,396,323,216
255,113,177,356,285,216
252,128,179,332,289,216
257,144,177,311,290,197
259,161,175,293,271,179
263,164,176,284,243,168
367,233,170,281,151,156
406,342,296,273,92,157
414,361,298,264,88,170
418,355,267,264,88,173
409,333,219,263,100,176
391,295,210,255,113,177
350,276,214,252,128,179
333,289,208,257,144,177
312,285,194,259,161,175
297,271,180,263,164,176
285,229,164,367,233,170
295,95,163,406,342,296
273,91,163,414,361,298
266,88,174,418,355,267
264,90,176,409,333,219
259,104,179,391,295,210
252,116,180,350,276,214
252,132,178,333,289,208
259,151,176,312,285,194
258,158,174,297,271,180
265,175,159,285,229,164
392,294,271,295,95,163
410,353,305,273,91,163
417,356,282,266,88,174
411,347,227,264,90,176
396,322,214,259,104,179
361,280,210,252,116,180
338,278,211,252,132,178
320,287,199,259,151,176
302,271,183,258,158,174
290,247,172,265,175,159
285,160,161,392,294,271
288,93,161,410,353,305
268,88,168,417,356,282
265,87,172,411,347,227
261,99,175,396,322,214
256,113,176,361,280,210
252,125,179,338,278,211
255,139,176,320,287,199
257,158,171,302,271,183
260,160,170,290,247,172
369,211,166,285,160,161
409,329,304,288,93,161
414,358,306,268,88,168
418,355,277,265,87,172
410,338,222,261,99,175
394,304,210,256,113,176
357,275,209,252,125,179
338,285,212,255,139,176
322,289,195,257,158,171
304,275,180,260,160,170
293,240,165,369,211,166
297,105,161,409,329,304
283,92,162,414,358,306
275,88,174,418,355,277
270,88,176,410,338,222
263,103,177,394,304,210
258,120,179,357,275,209
256,134,179,338,285,212
260,155,173,322,289,195
262,164,172,304,275,180
264,164,171,293,240,165
384,250,210,297,105,161
409,348,309,283,92,162
416,357,298,275,88,174
417,350,247,270,88,176
401,326,212,263,103,177
379,282,206,258,120,179
347,268,208,256,134,179
334,283,203,260,155,173
317,281,189,262,164,172
302,273,176,264,164,171
288,220,162,384,250,210
303,94,165,409,348,309
277,90,166,416,357,298
271,87,174,417,350,247
264,96,175,401,326,212
257,113,176,379,282,206
257,125,176,347,268,208
257,135,177,334,283,203
260,148,173,317,281,189
260,152,173,302,273,176
313,191,169,288,220,162
401,312,280,303,94,165
409,352,304,277,90,166
416,350,278,271,87,174
410,337,230,264,96,175
396,311,219,257,113,176
355,281,221,257,125,176
336,291,216,257,135,177
312,287,195,260,148,173
291,261,178,260,152,173
282,214,162,313,191,169
293,94,164,401,312,280
266,91,165,409,352,304
260,89,172,416,350,278
258,100,176,410,337,230
255,116,177,396,311,219
250,130,178,355,281,221
249,143,178,336,291,216
253,153,171,312,287,195
252,155,172,291,261,178
257,158,167,282,214,162
359,223,185,293,94,164
403,340,291,266,91,165
411,357,289,260,89,172
413,347,252,258,100,176
404,318,225,255,116,177
380,280,219,250,130,178
349,279,220,249,143,178
336,291,211,253,153,171
306,270,184,252,155,172
291,228,167,257,158,167
292,118,161,359,223,185
280,92,159,403,340,291
268,88,169,411,357,289
264,90,173,413,347,252
257,107,175,404,318,225
252,123,177,380,280,219
250,135,180,349,279,220
254,146,176,336,291,211
255,173,170,306,270,184
259,185,170,291,228,167
361,224,166,292,118,161
262,338,280,280,92,159
410,359,286,268,88,169
417,357,269,264,90,173
414,346,224,257,107,175
404,310,211,252,123,177
372,272,213,250,135,180
351,286,217,254,146,176
329,280,193,255,173,170
302,244,173,259,185,170
291,182,159,361,224,166
302,92,167,262,338,280
274,91,164,410,359,286
267,89,172,417,357,269
263,92,178,414,346,224
259,110,179,404,310,211
253,128,180,372,272,213
252,141,180,351,286,217
260,154,174,329,280,193
260,163,173,302,244,173
262,166,171,291,182,159
369,251,188,302,92,167
415,349,282,274,91,164
412,357,275,267,89,172
414,349,240,263,92,178
403,324,212,259,110,179
381,281,209,253,128,180
348,268,209,252,141,180
332,280,205,260,154,174
310,267,187,260,163,173
294,250,173,262,166,171
285,205,161,369,251,188
297,94,165,415,349,282
270,92,164,412,357,275
265,89,174,414,349,240
262,99,175,403,324,212
258,116,176,381,281,209
252,132,177,348,268,209
251,147,177,332,280,205
257,167,174,310,267,187
262,166,175,294,250,173
313,203,162,285,205,161
400,325,281,297,94,165
410,357,301,270,92,164
413,355,280,265,89,174
408,339,224,262,99,175
393,305,211,258,116,176
356,271,208,252,132,177
334,280,216,251,147,177
315,285,198,257,167,174
293,268,181,262,166,175
281,239,168,313,203,162
279,141,157,400,325,281
260,95,159,410,357,301
256,91,171,413,355,280
254,102,174,408,339,224
254,116,176,393,305,211
250,126,178,356,271,208
246,134,180,334,280,216
252,140,176,315,285,198
257,155,174,293,268,181
259,161,173,281,239,168
379,238,173,279,141,157
408,350,294,260,95,159
411,365,290,256,91,171
413,356,253,254,102,174
399,332,216,254,116,176
371,292,211,250,126,178
336,270,213,246,134,180
320,281,207,252,140,176
300,274,190,257,155,174
287,266,179,259,161,173
278,230,164,379,238,173
281,104,158,408,350,294
262,95,164,411,365,290
265,93,174,413,356,253
265,106,176,399,332,216
262,121,177,371,292,211
253,133,179,336,270,213
251,143,176,320,281,207
256,153,171,300,274,190
260,150,175,287,266,179
294,207,162,278,230,164
369,288,194,281,104,158
408,353,298,262,95,164
412,363,298,265,93,174
412,362,267,265,106,176
394,345,236,262,121,177
354,308,234,253,133,179
323,301,234,251,143,176
306,307,213,256,153,171
289,279,182,260,150,175
277,233,164,294,207,162
280,114,157,369,288,194
255,92,160,408,353,298
255,89,169,412,363,298
259,98,174,412,362,267
259,115,176,394,345,236
253,129,178,354,308,234
243,143,178,323,301,234
251,158,169,306,307,213
254,174,168,289,279,182
257,175,164,277,233,164
355,222,189,280,114,157
391,325,207,255,92,160
413,371,296,255,89,169
415,371,270,259,98,174
402,351,235,259,115,176
374,313,228,253,129,178
336,292,227,243,143,178
319,298,210,251,158,169
298,270,183,254,174,168
291,233,162,257,175,164
289,150,155,355,222,189
286,93,159,391,325,207
273,89,166,413,371,296
269,88,171,415,371,270
268,101,175,402,351,235
261,122,176,374,313,228
257,140,179,336,292,227
256,154,177,319,298,210
261,185,172,298,270,183
260,189,172,291,233,162
376,232,165,289,150,155
410,331,270,286,93,159
419,358,287,273,89,166
421,360,268,269,88,171
412,348,220,268,101,175
390,309,216,261,122,176
345,278,216,257,140,179
320,290,211,256,154,177
296,273,190,261,185,172
285,251,170,260,189,172
275,209,164,376,232,165
289,99,160,410,331,270
259,96,163,419,358,287
255,100,169,421,360,268
256,114,173,412,348,220
252,129,174,390,309,216
244,143,176,345,278,216
246,153,176,320,290,211
255,162,170,296,273,190
255,163,172,285,251,170
269,172,159,275,209,164
347,272,182,289,99,160
408,351,269,259,96,163
415,369,296,255,100,169
417,362,259,256,114,173
406,333,224,252,129,174
383,285,219,244,143,176
347,276,221,246,153,176
335,288,215,255,162,170
312,277,189,255,163,172
297,255,173,269,172,159
288,175,158,347,272,182
296,92,167,408,351,269
278,87,171,415,369,296
272,87,176,417,362,259
267,87,179,406,333,224
257,105,181,383,285,219
252,120,183,347,276,221
252,140,181,335,288,215
259,167,175,312,277,189
260,175,174,297,255,173
367,230,168,288,175,158
408,327,288,296,92,167
415,355,305,278,87,171
419,355,283,272,87,176
410,340,227,267,87,179
391,307,219,257,105,181
348,279,218,252,120,183
329,289,219,252,140,181
307,279,192,259,167,175
293,260,177,260,175,174
284,220,163,367,230,168
298,97,168,408,327,288
275,90,166,415,355,305
266,88,174,419,355,283
263,94,177,410,340,227
255,114,178,391,307,219
251,126,180,348,279,218
249,137,181,329,289,219
257,155,174,307,279,192
260,168,176,293,260,177
261,175,174,284,220,163
374,249,188,298,97,168
408,350,295,275,90,166
414,361,286,266,88,174
412,346,242,263,94,177
402,315,222,255,114,178
375,276,213,251,126,180
346,276,216,249,137,181
331,284,209,257,155,174
306,270,187,260,168,176
292,244,171,261,175,174
286,172,159,374,249,188
289,93,166,408,350,295
270,89,170,414,361,286
267,88,177,412,346,242
263,96,178,402,315,222
257,116,180,375,276,213
252,131,181,346,276,216
255,145,178,331,284,209
259,167,172,306,270,187
260,169,175,292,244,171
344,214,160,286,172,159
394,293,200,289,93,166
413,357,301,270,89,170
417,360,290,267,88,177
414,350,244,263,96,178
402,328,226,257,116,180
361,295,222,252,131,181
340,300,224,255,145,178
318,297,207,259,167,172
295,260,178,260,169,175
288,210,163,344,214,160
303,96,165,394,293,200
276,90,164,413,357,301
263,88,172,417,360,290
260,93,175,414,350,244
258,112,176,402,328,226
253,128,178,361,295,222
249,143,180,340,300,224
254,158,177,318,297,207
255,169,177,295,260,178
257,166,172,288,210,163
362,226,181,303,96,165
404,328,263,276,90,164
414,359,299,263,88,172
416,356,273,260,93,175
407,340,234,258,112,176
385,308,223,253,128,178
346,288,223,249,143,180
331,299,224,254,158,177
303,274,186,255,169,177
289,233,168,257,166,172
287,159,160,362,226,181
292,91,164,404,328,263
266,90,168,414,359,299
260,90,171,416,356,273
259,108,175,407,340,234
255,125,176,385,308,223
249,137,178,346,288,223
251,151,173,331,299,224
258,177,170,303,274,186
259,177,170,289,233,168
299,206,160,287,159,160
378,280,189,292,91,164
410,351,276,266,90,168
415,360,276,260,90,171
412,344,238,259,108,175
401,313,226,255,125,176
364,285,230,249,137,178
351,300,228,251,151,173
327,287,203,258,177,170
301,241,180,259,177,170
292,179,166,299,206,160
305,92,169,378,280,189
275,91,167,410,351,276
266,89,174,415,360,276
263,95,177,412,344,238
260,115,179,401,313,226
253,131,181,364,285,230
253,141,183,351,300,228
253,153,177,327,287,203
257,160,178,301,241,180
257,168,173,292,179,166
350,208,176,305,92,169
388,300,213,275,91,167
406,358,294,266,89,174
408,354,267,263,95,177
400,331,241,260,115,179
373,299,231,253,131,181
340,286,233,253,141,183
327,295,223,253,153,177
302,273,195,257,160,178
288,232,172,257,168,173
285,147,160,350,208,176
278,93,165,388,300,213
265,90,170,406,358,294
264,88,178,408,354,267
264,103,180,400,331,241
258,123,181,373,299,231
254,139,183,340,286,233
254,155,180,327,295,223
255,176,175,302,273,195
257,170,176,288,232,172
257,183,158,285,147,160
364,266,195,278,93,165
411,350,301,265,90,170
415,359,291,264,88,178
410,349,245,264,103,180
393,323,229,258,123,181
354,286,226,254,139,183
332,286,229,254,155,180
314,290,211,255,176,175
294,268,190,257,170,176
283,226,170,257,183,158
291,116,167,364,266,195
272,92,167,411,350,301
261,88,176,415,359,291
259,95,179,410,349,245
256,113,181,393,323,229
250,127,182,354,286,226
247,140,183,332,286,229
246,151,178,314,290,211
253,169,175,294,268,190
255,170,173,283,226,170
358,228,194,291,116,167
398,336,284,272,92,167
406,358,290,261,88,176
408,350,259,259,95,179
395,327,231,256,113,181
373,287,220,250,127,182
338,265,218,247,140,183
325,275,221,246,151,178
311,273,201,253,169,175
299,265,186,255,170,173
286,227,164,358,228,194
301,98,171,398,336,284
283,91,177,406,358,290
279,88,182,408,350,259
271,95,182,395,327,231
260,120,183,373,287,220
254,139,184,338,265,218
256,150,186,325,275,221
260,163,184,311,273,201
263,168,183,299,265,186
359,243,172,286,227,164
396,336,256,301,98,171
405,359,273,283,91,177
